"","site_code","BMI","BMI_special_note","invetigate_no","rank"
"115","1007G202",65.570987654321,"65.570987654321","-","B"
"116","1007G208",83.9236111111111,"83.9236111111111","-","A"
"117","1007G214",63.287037037037,"63.287037037037","-","C"
"118","1007G216",51.0227272727273,"51.0227272727273","-","C"
"119","1007G220",74.2361111111111,"74.2361111111111","-","B"
"120","1007G224",42.8191489361702,"42.8191489361702","-","D"
"121","1007G228",74.8603351955307,"74.8603351955307","-","B"
"122","1009G020",59.0625,"59.0625","-","C"
"123","1010G004",87.6815642458101,"87.6815642458101","-","A"
"124","1010G008",91.4189189189189,"91.4189189189189","-","A"
"125","1010G016",84.0669014084507,"84.0669014084507","-","A"
"126","1010G020",94.3545081967213,"94.3545081967213","-","A"
"127","1010G024",90.0791139240506,"90.0791139240506","-","A"
"128","1010G030",91.5789473684211,"91.5789473684211","-","A"
"129","1010G034",85.7861635220126,"85.7861635220126","-","A"
"130","1010G040",85.4058441558442,"85.4058441558442","-","A"
"131","1010G044",84.0030674846626,"84.0030674846626","-","A"
"132","1010G058",87.8455284552846,"87.8455284552846","-","A"
"133","1010G064",46.0975609756098,"46.0975609756098","-","D"
"134","1010G066",33.8,"33.8","-","E"
"135","1011G010",86.9303797468354,"86.9303797468354","-","A"
"136","1011G030",92.8633720930233,"92.8633720930233","-","A"
"137","1011G085",73.2456140350877,"73.2456140350877","-","B"
"138","1012G006",97.8835978835979,"97.8835978835979","-","A"
"139","1012G027",49.2857142857143,"49.2857142857143","-","D"
"140","1012G063",77.3333333333333,"77.3333333333333","-","B"
"141","1012G069",50.625,"50.625","-","C"
"142","1012G075",72.3235294117647,"72.3235294117647","-","B"
"143","1013G006",85.5223880597015,"85.5223880597015","-","A"
"144","1013G015",54.375,"54.375","-","C"
"145","1013G021",90.8386075949367,"90.8386075949367","-","A"
"146","1013G027",45,"45","-","D"
"147","1013G036",91.2640449438202,"91.2640449438202","-","A"
"148","1013G054",90.1336898395722,"90.1336898395722","-","A"
"149","1013G063",92.7029914529915,"92.7029914529915","-","A"
"150","1013G069",89.7772277227723,"89.7772277227723","-","A"
